id;tags;category;region;county;address;longitude;latitude;nearby;datetime;light;weather;road_conditions;participants_count;participant_categories;severity;dead_count;injured_count
8161;Дорожно-транспортные происшествия;Наезд на препятствие;Магаданская область;Магадан;г Магадан, ул Рыбозаводская, 21а;150.8875;59.545;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-20 23:00:00;В темное время суток, освещение включено;Ясно;Недостатки зимнего содержания;2;Все участники;С погибшими;1;1
8967;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, пр-кт Ленина, 3;150.808056;59.568056;Административные здания, Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП), Регулируемый перекресток;2015-01-23 01:15:00;В темное время суток, освещение включено;Пасмурно;Недостатки зимнего содержания;6;Все участники;Тяжёлый;0;5
9637;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, ул Портовая, 4;150.803333;59.562778;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-24 17:40:00;В темное время суток, освещение включено;Ясно;Не установлены;3;Все участники;Легкий;0;1
10310;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, ул Портовая, 25-21;150.783333;59.564167;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-26 17:40:00;В темное время суток, освещение включено;Ясно;Отсутствие, плохая различимость горизонтальной разметки проезжей части;3;Все участники;Легкий;0;2
10463;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;Магадан, МАГАДАН-БАЛАГАННОЕ-ТАЛОН, 4км;150.785556;59.592778;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-01-27 08:20:00;Сумерки;Снегопад;Не установлены;3;Все участники;Легкий;0;1
13507;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, ул Первомайская, 1;150.877778;59.543056;Нерегулируемый перекрёсток, Нерегулируемый перекрёсток неравнозначных улиц (дорог), Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-04 07:23:00;Светлое время суток;Ясно;Не установлены;3;Все участники;С погибшими;1;1
13787;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, ул Набережная реки Магаданки, 15;150.823889;59.561944;Административные здания, Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП), Регулируемый перекресток;2015-02-04 21:25:00;В темное время суток, освещение включено;Ясно;Недостатки зимнего содержания;3;Все участники;Легкий;0;1
15159;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;;150.811944;59.570833;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-08 13:30:00;Светлое время суток;Пасмурно;Не установлены;3;Все участники;Легкий;0;1
15608;Дорожно-транспортные происшествия;Наезд на пешехода;Магаданская область;Магадан;г Магадан, ш Марчеканское, 29-1;150.795278;59.548889;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-09 15:00:00;Светлое время суток;Ясно;Не установлены;2;Все участники, Пешеходы;Тяжёлый;0;1
15970;Дорожно-транспортные происшествия;Наезд на пешехода;Магаданская область;Магадан;г Магадан, ул Портовая, 5 а;79.135556;56.501667;Внутридворовая территория, Одиночный торговый объект, являющийся местом притяжения транспорта и (или) пешеходов, Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-10 14:10:00;Светлое время суток;Ясно;Не установлены;2;Все участники, Пешеходы;Легкий;0;1
16769;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, ул Пролетарская, 42;150.818056;59.560556;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-12 19:50:00;В темное время суток, освещение включено;Ясно;Не установлены;2;Все участники;Легкий;0;1
16948;Дорожно-транспортные происшествия;Опрокидывание;Магаданская область;Хасынский район;Хасынский район, Автоподъезд от ФАД Колыма к п. Талая, 28км;152.355556;61.135556;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-13 11:30:00;Светлое время суток;Ясно;Не установлены;1;Все участники;Легкий;0;1
16953;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Северо-Эвенский район;Северо-Эвенский район, ГОК КВАРЦЕВЫЙ - ГОК КУБАКА, 41км;159.1875;63.261667;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-13 11:45:00;Светлое время суток;Ясно;Не установлены;2;Все участники;Тяжёлый;0;1
17231;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, ул Лукса, 15;150.803056;59.550556;Нерегулируемый перекрёсток, Нерегулируемый перекрёсток неравнозначных улиц (дорог), Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-13 23:27:00;В темное время суток, освещение включено;Ясно;Не установлены;2;Все участники;Тяжёлый;0;2
17574;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, ул Гагарина, 44-1;150.811389;59.551667;Административные здания, Объект (здание, сооружение) религиозного культа, Регулируемый перекресток, Регулируемый пешеходный переход;2015-02-14 18:54:00;В темное время суток, освещение включено;Ясно;Не установлены;2;Все участники;Легкий;0;1
17786;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, ул Пролетарская, 14;150.810833;59.565556;Нерегулируемый перекрёсток, Нерегулируемый перекрёсток неравнозначных улиц (дорог), Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-15 06:35:00;Светлое время суток;Ясно;Не установлены;2;Все участники;Легкий;0;1
17997;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, ул Кольцевая, 1;150.8325;59.551944;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-15 18:30:00;В темное время суток, освещение включено;Пасмурно;Не установлены;3;Все участники;Легкий;0;1
18053;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, пр-кт Карла Маркса, 80;150.821667;59.552778;Многоквартирные жилые дома, Остановка общественного транспорта, Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-15 20:35:00;В темное время суток, освещение включено;Ясно;Не установлены;2;Все участники;Легкий;0;1
18121;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Магадан;г Магадан, ул Набережная реки Магаданки, 71;150.839167;59.555;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-16 03:20:00;В темное время суток, освещение включено;Пасмурно;Не установлены;3;Все участники;Легкий;0;1
18970;Дорожно-транспортные происшествия;Столкновение;Магаданская область;Ягоднинский район;Ягоднинский район, Р-504 Колыма Якутск - Магадан, 1496км;149.625;62.525278;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-18 12:15:00;Светлое время суток;Температура ниже -30С, Ясно;Не установлены;3;Все участники;Тяжёлый;0;1
19136;Дорожно-транспортные происшествия;Наезд на стоящее ТС;Магаданская область;Магадан;г Магадан, ул Кольцевая, 50;150.811389;59.548889;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-18 20:15:00;В темное время суток, освещение включено;Ясно;Не установлены;3;Все участники;Тяжёлый;0;2
20132;Дорожно-транспортные происшествия;Наезд на стоящее ТС;Магаданская область;Сусуманский район;Сусуманский район, П. МЯУНДЖА - П. ПЕРВОМАЙСКИЙ, 0км;147.188889;63.044167;Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-21 12:20:00;Светлое время суток;Пасмурно;Не установлены;5;Все участники;С погибшими;1;0
21245;Дорожно-транспортные происшествия;Наезд на пешехода;Магаданская область;Магадан;г Магадан, ул Кольцевая, 8-1;150.814444;59.580278;Иная образовательная организация, Нерегулируемый пешеходный переход, расположенный на участке улицы или дороги, проходящей вдоль территории школы или иного детского учреждения, Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-24 08:35:00;Светлое время суток;Ясно;Отсутствие, плохая различимость горизонтальной разметки проезжей части;2;Все участники, Пешеходы;Легкий;0;1
22158;Дорожно-транспортные происшествия;Наезд на препятствие;Магаданская область;Ягоднинский район;Ягоднинский район, Р-504 Колыма Якутск - Магадан, 1418км;148.158056;62.781667;Иной объект, Мост, эстакада, путепровод, Отсутствие в непосредственной близости объектов УДС и объектов притяжения, Перегон (нет объектов на месте ДТП);2015-02-26 16:05:00;Светлое время суток;Температура ниже -30С, Ясно;Не установлены;2;Все участники;Легкий;0;2
